row,name,code,tweet,follow
518,和顺电气,300141,5762.0,14427.0
519,中环装备,300140,5891.0,15972.0
520,晓程科技,300139,3872.0,8812.0
521,晨光生物,300138,2728.0,9580.0
522,先河环保,300137,10914.0,27465.0
523,信维通信,300136,13966.0,106845.0
524,宝利国际,300135,2647.0,31079.0
525,大富科技,300134,9362.0,32763.0
526,华策影视,300133,9356.0,55221.0
527,青松股份,300132,1602.0,4595.0
528,英唐智控,300131,5582.0,22087.0
529,新国都,300130,5992.0,18148.0
530,泰胜风能,300129,3142.0,7933.0
531,锦富技术,300128,4334.0,11603.0
532,银河磁体,300127,2822.0,7766.0
533,锐奇股份,300126,3284.0,9525.0
534,易世达,300125,949.0,3945.0
535,汇川技术,300124,12284.0,51102.0
536,太阳鸟,300123,2230.0,15708.0
537,智飞生物,300122,3313.0,10864.0
538,阳谷华泰,300121,2550.0,6469.0
539,经纬电材,300120,3392.0,13455.0
540,瑞普生物,300119,2638.0,7567.0
541,东方日升,300118,8724.0,23891.0
542,嘉寓股份,300117,4421.0,22819.0
543,坚瑞沃能,300116,4128.0,11419.0
544,长盈精密,300115,7645.0,25623.0
545,中航电测,300114,1694.0,10819.0
546,顺网科技,300113,12893.0,34548.0
547,万讯自控,300112,2505.0,5308.0
548,向日葵,300111,7299.0,18631.0
549,华仁药业,300110,8776.0,18264.0
550,新开源,300109,9724.0,68538.0
551,双龙股份,300108,2742.0,5586.0
552,建新股份,300107,1716.0,4942.0
553,西部牧业,300106,2477.0,13937.0
554,龙源技术,300105,3085.0,8872.0
555,乐视网,300104,307811.0,672957.0
556,达刚路机,300103,3375.0,11827.0
557,乾照光电,300102,4053.0,9542.0
558,振芯科技,300101,6806.0,29894.0
559,双林股份,300100,3085.0,9640.0
560,精准信息,300099,3734.0,7965.0
561,高新兴,300098,5312.0,27721.0
562,智云股份,300097,6665.0,22253.0
563,易联众,300096,4166.0,15030.0
564,华伍股份,300095,3583.0,12841.0
565,国联水产,300094,1507.0,6506.0
566,金刚玻璃,300093,7653.0,16412.0
